Carrier,Product,NSPA,TX,OK,PA,WI,OHM,OH-FR,AZ,MO,WV,TN,IA,KS-M,KS-B,TX-M,AR,IN-M,IN-MD,IL-M,IL-MD,Rule Type,Error or Warning,Rule to Enact,Error or Warning Message to Display,"Run in Quote, Application?","Unacceptable Driver/
Unacceptable Vehicle Indicators",Comments/Changes
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"Validation
Underwriting",Error,"""Best Way to Contact"" is ""Business Phone"", but ""Primary Phone"" is not entered","Best way to contact is ""Business Phone"" but ""Primary Phone"" is not entered on Insured $insuredName.","Quote, Application",,JAO 3/22/2023 - Updated per PRISPROD-1625
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,"""Insured Name"" is not entered",Insured Name is Required,"Quote, Application",,
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,"""Mailing Address is Required"" is not entered",Mailing Address is Required,"Quote, Application",,
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"Validation
Underwriting",Error,"""Best Way to Contact"" is ""Email, but ""Email"" is not entered","Best way to contact is ""Email"" but and email address is not entered on Insured $insuredName.","Quote, Application",,JAO 3/22/2023 - Updated per PRISPROD-1625
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"Validation
Underwriting",Error,"""Best Way to Contact"" is ""Fax"", but a fax number is not entered","Best way to contact is ""Fax"" but ""Primary Phone"" is not entered on Insured $insuredName.","Quote, Application",,JAO 3/22/2023 - Updated per PRISPROD-1625
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"Validation
Underwriting",Error,"""Best Way to Contact"" is ""Home Phone"", but ""Primary Phone"" is not entered","Best way to contact is ""Home Phone"" but ""Primary Phone"" is not entered on Insured $insuredName.","Quote, Application",,JAO 3/22/2023 - Updated per PRISPROD-1625
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"Validation
Underwriting",Error,"""Best Way to Contact"" is ""Mobile Phone"", but ""Primary Phone"" is not entered","Best way to contact is ""Mobile Phone"" but ""Primary Phone"" is not entered on Insured $insuredName.","Quote, Application",,JAO 3/22/2023 - Updated per PRISPROD-1625
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"Validation
Underwriting",Warning,"""Best Way to Contact"" is ""Select...""",Best way to contact the Insured has not been entered,"Quote, Application",,JAO 3/22/2023 - Updated per PRISPROD-1625
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,If any Underwriting Question is left unanswered…,"Some or all underwriting questions have not been answered or have outstanding issues and are required. 

Review all answers to UW questions. Once questions are verified, select Save or navigate to another screen. (highlight missed questions in red)",Application,,
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,If any Driver Question is left unanswered…,"Review the Driver Questions for each driver. Once all questions are verified, select Save or navigate to the next screen. (highlight missed questions in red)",Application,,"JAO 3/21/24 - Add validation rule for new driver/vehicle specific questions - PRISUAT-1834
LE 9/06/2024- Add for WV GW-1622
LE 6/11/2025- Added TN GW-3771"
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,If any Vehicle Question is left unanswered…,"Review the Vehicle Questions for each vehicle. Once all questions are verified, select Save or navigate to the next screen. (highlight missed questions in red)",Application,,"JAO 3/21/24 - Add validation rule for new driver/vehicle specific questions - PRISUAT-1834
LE 9/06/2024- Add for WV GW-1622
LE 6/11/2025- Added TN GW-3771"
PRIS,NSPA,X,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,"""Garaging Address"" contains a P.O. Box.",Vehicle Garage address contains a P.O. Box.  Please include a physical address.,"Quote, Application",,JAO 4/27/2023 - Removed rule for OH-FR - No vehicle/garaging address allowed SJS 5.23.23 PRISUAT-1584
PRIS,NSPA,X,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,"More than one active vehicle with the same ""VIN"" number",Vehicle 'Vehicle Number' must have a different VIN than Vehicle 'Vehicle Number'.,"Quote, Application",,JAO 4/27/2023 - Removed rule for OH-FR - No vehicle allowed SJS 5.23.23 PRISUAT-1584
PRIS,NSPA,X,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error,"COLL must include OTC (COPR), however OTC (COPR) does not require COLL",Vehicle 'Vehicle Number' - Collision cannot be added without Other Than Collision coverage,"Quote, Application",,"JAO 4/27/2023 - Remove rule for OH-FR - no OTC/COL coverage allowed SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- Remove for AZ PRISUAT-1834
AF 02/03/2025 - Remove for WV GW-1643
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,Validation,Error,"""Uninsured Motorist Property Damage"" must include ""Uninsured Motorist/Underinsured Motorist Bodily Injury""",Uninsured Motorist/Underinsured Motorist Bodily Injury is required with Uninsured/Underinsured Motorist Property Damage,"Quote, Application",,JAO 4/27/2023 - Add rule for OH Maverick SJS 5.23.23 PRISUAT-1585
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,"For ""Bodily Injury"", ""Property Damage"" must be included (and vice versa).","For Bodily Injury, Property Damage must be included.
Vehicle 'Vehicle Number' - For Property Damage, Bodily Injury must be included.","Quote, Application",,
PRIS,NSPA,X,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,Validation,Warning,"""Personal Injury Protection"" is required for all auto liability policies",Personal Injury Protection is required for all auto liability policies unless rejected in writing.,"Quote, Application",,
PRIS,NSPA,X,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,"""Underinsured Motorist Bodily Injury"" cannot exceed ""Bodily Injury""","""Underinsured Motorist Bodily Injury"" coverage cannot exceed ""Bodily Injury"" coverage.","Quote, Application",,"LS 6/12/25:Changed to NO, limits are UI driven"
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,If any required Driver Employment Details are left unanswered…,Employment details are required for Driver.,Application,,
